contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
NUAN240119P00030000,2021-12-13 05:06:14+00:00,30.0,0.3,0.0,0.0,0.0,0.0,4,0,0.12500875,False,REGULAR,USD,NUAN
NUAN240119P00032500,2021-12-21 16:20:18+00:00,32.5,0.1,0.0,0.4,0.0,0.0,5,13,0.24878680908203127,False,REGULAR,USD,NUAN
NUAN240119P00037500,2022-01-28 16:08:54+00:00,37.5,0.45,0.0,0.0,0.0,0.0,3,0,0.062509375,False,REGULAR,USD,NUAN
NUAN240119P00040000,2022-01-28 19:18:55+00:00,40.0,0.55,0.0,0.0,0.0,0.0,16,0,0.062509375,False,REGULAR,USD,NUAN
NUAN240119P00042500,2022-01-28 19:19:09+00:00,42.5,0.6,0.0,0.0,0.0,0.0,6,0,0.0312596875,False,REGULAR,USD,NUAN
NUAN240119P00045000,2021-12-20 19:54:51+00:00,45.0,0.55,0.0,0.6,0.0,0.0,2,20,0.13172255004882813,False,REGULAR,USD,NUAN
NUAN240119P00047500,2022-01-10 18:47:41+00:00,47.5,0.55,0.0,0.0,0.0,0.0,2,0,0.0312596875,False,REGULAR,USD,NUAN
NUAN240119P00050000,2022-02-01 15:12:29+00:00,50.0,0.75,0.0,0.0,0.0,0.0,20,0,0.015634843750000002,False,REGULAR,USD,NUAN
NUAN240119P00052500,2022-02-02 15:08:35+00:00,52.5,0.65,0.0,0.0,0.0,0.0,1,0,0.007822421875,False,REGULAR,USD,NUAN
NUAN240119P00055000,2022-02-01 20:52:38+00:00,55.0,0.9,0.0,0.0,0.0,0.0,1,0,0.00196310546875,False,REGULAR,USD,NUAN
NUAN240119P00057500,2021-10-19 13:41:00+00:00,57.5,1.5,0.5,5.4,0.0,0.0,1,0,0.13495738098144533,True,REGULAR,USD,NUAN
