contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
PLCE220318P00045000,2021-11-22 17:46:07+00:00,45.0,0.3,0.4,0.95,0.0,0.0,1.0,2,0.8696302099609375,False,REGULAR,USD,PLCE
PLCE220318P00050000,2021-12-31 17:51:54+00:00,50.0,0.95,0.75,2.7,0.0,0.0,2.0,2,0.9238288867187501,False,REGULAR,USD,PLCE
PLCE220318P00055000,2022-01-05 19:53:28+00:00,55.0,1.53,1.15,2.65,0.27999997,22.399998,3.0,8,0.7426783544921874,False,REGULAR,USD,PLCE
PLCE220318P00060000,2021-11-22 18:52:45+00:00,60.0,1.2,3.1,3.8,0.0,0.0,1.0,8,0.7397486962890624,False,REGULAR,USD,PLCE
PLCE220318P00065000,2021-10-29 17:08:26+00:00,65.0,5.01,2.3,3.2,0.0,0.0,1.0,3,0.4655815161132813,False,REGULAR,USD,PLCE
PLCE220318P00070000,2021-12-29 15:14:57+00:00,70.0,4.56,5.0,6.6,0.0,0.0,2.0,2,0.5415084912109377,True,REGULAR,USD,PLCE
PLCE220318P00075000,2022-01-04 19:46:07+00:00,75.0,6.0,7.1,8.5,0.0,0.0,4.0,243,0.3286199951171874,True,REGULAR,USD,PLCE
PLCE220318P00080000,2021-12-28 15:54:52+00:00,80.0,9.7,9.9,12.1,0.0,0.0,1.0,99,1.0000000000000003e-05,True,REGULAR,USD,PLCE
PLCE220318P00085000,2022-01-05 18:12:49+00:00,85.0,12.2,13.8,15.1,1.5999994,15.094334,3.0,141,1.0000000000000003e-05,True,REGULAR,USD,PLCE
PLCE220318P00090000,2022-01-05 15:33:29+00:00,90.0,14.2,17.3,18.9,-0.4300003,-2.9391682,10.0,20,1.0000000000000003e-05,True,REGULAR,USD,PLCE
PLCE220318P00095000,2021-11-15 15:34:09+00:00,95.0,10.05,18.4,20.3,0.0,0.0,8.0,8,1.0000000000000003e-05,True,REGULAR,USD,PLCE
PLCE220318P00100000,2021-12-02 17:26:41+00:00,100.0,21.3,22.2,25.5,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD,PLCE
PLCE220318P00105000,2021-11-16 19:21:00+00:00,105.0,14.0,28.1,30.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,PLCE
