contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
RICK220819P00035000,2022-02-10 17:44:38+00:00,35.0,1.45,1.15,2.05,0.0,0.0,15.0,22,0.7746604565429689,False,REGULAR,USD,RICK
RICK220819P00040000,2022-01-04 15:15:08+00:00,40.0,1.75,1.0,4.1,0.0,0.0,1.0,11,0.75586181640625,False,REGULAR,USD,RICK
RICK220819P00045000,2022-01-07 17:06:11+00:00,45.0,2.05,2.5,3.3,0.0,0.0,3.0,13,0.6585727502441407,False,REGULAR,USD,RICK
RICK220819P00050000,2022-01-24 19:26:07+00:00,50.0,4.5,3.6,5.4,0.0,0.0,4.0,17,0.6601596484375001,False,REGULAR,USD,RICK
RICK220819P00055000,2022-02-10 20:33:52+00:00,55.0,4.5,5.8,7.0,0.0,0.0,6.0,35,0.6552768847656252,False,REGULAR,USD,RICK
RICK220819P00060000,2022-01-27 17:26:18+00:00,60.0,7.7,6.7,9.1,0.0,0.0,1.0,25,0.6062051098632814,False,REGULAR,USD,RICK
RICK220819P00065000,2022-02-11 20:31:21+00:00,65.0,10.3,9.2,11.2,2.5,32.05128,13.0,38,0.5877726770019531,False,REGULAR,USD,RICK
RICK220819P00070000,2022-02-11 17:32:57+00:00,70.0,11.2,12.1,13.9,2.8499994,34.13173,1.0,29,0.5784954260253907,True,REGULAR,USD,RICK
RICK220819P00075000,2022-02-11 18:39:45+00:00,75.0,15.1,15.2,17.1,2.6000004,20.800003,2.0,0,0.5708050732421875,True,REGULAR,USD,RICK
RICK220819P00080000,2022-01-20 20:01:24+00:00,80.0,15.0,18.1,20.6,0.0,0.0,1.0,2,0.5500533276367189,True,REGULAR,USD,RICK
RICK220819P00095000,2021-12-28 16:16:41+00:00,95.0,25.6,29.9,31.9,0.0,0.0,,1,0.5086719055175781,True,REGULAR,USD,RICK
