contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
RDSB220617P00030000,2022-01-25 19:24:52+00:00,30.0,0.32,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD,SHEL
SHEL220617P00035000,2022-02-07 17:37:18+00:00,35.0,0.35,0.2,0.5,0.0,0.0,40,1322,0.5361374511718751,False,REGULAR,USD,SHEL
RDSB220617P00037500,2022-01-18 15:12:07+00:00,37.5,0.6,0.0,0.0,0.0,0.0,10,0,0.12500875,False,REGULAR,USD,SHEL
SHEL220617P00040000,2022-02-10 15:29:57+00:00,40.0,0.45,0.4,0.6,-0.09000003,-16.666672,25,1268,0.4243221630859375,False,REGULAR,USD,SHEL
SHEL220617P00042500,2022-02-07 20:19:25+00:00,42.5,0.65,0.55,0.75,0.0,0.0,7,2716,0.3859924682617187,False,REGULAR,USD,SHEL
SHEL220617P00045000,2022-02-09 18:42:38+00:00,45.0,1.0,0.9,1.1,0.0,0.0,10,3508,0.36865865722656255,False,REGULAR,USD,SHEL
SHEL220617P00047500,2022-02-09 15:48:45+00:00,47.5,1.4,1.3,2.05,0.0,0.0,15,890,0.40015248291015626,False,REGULAR,USD,SHEL
RDSB220617P00050000,2022-01-20 15:59:37+00:00,50.0,4.04,0.0,0.0,0.0,0.0,2,0,0.0312596875,False,REGULAR,USD,SHEL
RDSB220617P00052500,2022-01-26 18:19:30+00:00,52.5,4.65,0.0,0.0,0.0,0.0,1,0,0.015634843750000002,False,REGULAR,USD,SHEL
SHEL220617P00055000,2022-02-10 15:45:39+00:00,55.0,4.0,4.1,4.5,-0.3000002,-6.9767485,33,713,0.3350896569824219,True,REGULAR,USD,SHEL
SHEL220617P00060000,2022-02-07 17:49:29+00:00,60.0,7.3,5.8,8.9,1.2200003,20.065794,1,13,0.4337214831542969,True,REGULAR,USD,SHEL
