contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SHOP220715P00420000,2022-02-02 18:26:17+00:00,420.0,8.2,6.0,10.3,3.1999998,64.0,1.0,4,0.7337062762451172,False,REGULAR,USD,SHOP
SHOP220715P00440000,2022-01-28 20:52:56+00:00,440.0,9.8,7.3,12.0,0.0,0.0,4.0,2,0.7216519534301759,False,REGULAR,USD,SHOP
SHOP220715P00450000,2022-01-27 18:06:12+00:00,450.0,14.3,8.0,12.9,0.0,0.0,,3,0.7154264297485352,False,REGULAR,USD,SHOP
SHOP220715P00480000,2022-01-28 15:29:09+00:00,480.0,21.57,10.5,15.9,0.0,0.0,10.0,10,0.698092618713379,False,REGULAR,USD,SHOP
SHOP220715P00490000,2022-02-01 17:03:09+00:00,490.0,10.1,11.9,17.1,0.0,0.0,10.0,11,0.6961089959716797,False,REGULAR,USD,SHOP
SHOP220715P00500000,2022-02-02 20:02:49+00:00,500.0,15.88,13.0,18.3,5.88,58.8,2.0,23,0.6912567495727541,False,REGULAR,USD,SHOP
SHOP220715P00510000,2022-01-27 17:17:38+00:00,510.0,20.8,14.0,19.6,0.0,0.0,,14,0.6857026058959962,False,REGULAR,USD,SHOP
SHOP220715P00520000,2022-01-31 18:39:35+00:00,520.0,14.62,15.2,21.0,0.0,0.0,4.0,5,0.6812470840454102,False,REGULAR,USD,SHOP
SHOP220715P00530000,2022-01-24 17:12:31+00:00,530.0,35.6,16.4,22.5,0.0,0.0,,10,0.6766237171936036,False,REGULAR,USD,SHOP
SHOP220715P00540000,2022-02-02 16:11:23+00:00,540.0,20.0,17.7,24.0,3.0,17.647058,2.0,11,0.6718477639770509,False,REGULAR,USD,SHOP
SHOP220715P00580000,2022-02-01 19:11:24+00:00,580.0,18.0,23.2,31.0,0.0,0.0,22.0,24,0.6526829165649416,False,REGULAR,USD,SHOP
SHOP220715P00600000,2022-02-02 20:02:49+00:00,600.0,30.08,26.5,35.1,9.280001,44.61539,2.0,13,0.6443669596862793,False,REGULAR,USD,SHOP
