contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SMG220916P00070000,2022-02-04 20:13:31+00:00,70.0,1.26,0.05,2.05,0.0,0.0,2.0,2,0.5739788696289063,False,REGULAR,USD,SMG
SMG220916P00100000,2022-02-04 20:13:31+00:00,100.0,4.57,3.3,4.2,0.0,0.0,1.0,43,0.48328153442382815,False,REGULAR,USD,SMG
SMG220916P00130000,2022-01-24 17:33:47+00:00,130.0,15.25,11.1,12.3,0.0,0.0,5.0,7,0.4184628466796875,False,REGULAR,USD,SMG
SMG220916P00135000,2022-02-03 20:28:20+00:00,135.0,16.5,13.2,14.6,0.0,0.0,1.0,7,0.41565525756835936,False,REGULAR,USD,SMG
SMG220916P00140000,2022-02-03 17:41:20+00:00,140.0,18.8,15.1,16.6,0.0,0.0,1.0,14,0.40073231109619145,False,REGULAR,USD,SMG
SMG220916P00145000,2022-02-04 18:16:28+00:00,145.0,24.0,17.7,19.3,0.0,0.0,3.0,3,0.39728385925292964,True,REGULAR,USD,SMG
SMG220916P00150000,2022-01-26 15:25:41+00:00,150.0,17.0,20.3,22.6,0.0,0.0,,1,0.40265489929199216,True,REGULAR,USD,SMG
SMG220916P00155000,2022-02-02 15:29:10+00:00,155.0,24.4,23.9,25.6,0.0,0.0,,3,0.39649041015625003,True,REGULAR,USD,SMG
SMG220916P00160000,2022-01-28 14:58:02+00:00,160.0,27.0,26.9,28.9,0.0,0.0,1.0,1,0.39276730285644534,True,REGULAR,USD,SMG
SMG220916P00175000,2022-02-01 18:35:42+00:00,175.0,36.0,38.2,40.3,0.0,0.0,,1,0.39331661376953125,True,REGULAR,USD,SMG
SMG220916P00180000,2022-02-03 17:05:37+00:00,180.0,47.29,42.2,44.8,0.0,0.0,,6,0.40515731567382807,True,REGULAR,USD,SMG
SMG220916P00200000,2022-02-03 17:05:37+00:00,200.0,65.31,60.0,62.6,0.0,0.0,,6,0.424810439453125,True,REGULAR,USD,SMG
