contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
SRE220715P00070000,2021-12-22 16:51:23+00:00,70.0,0.2,0.0,1.8,0.0,0.0,4.0,0,0.6245154736328126,False,REGULAR,USD,SRE
SRE220715P00075000,2021-11-10 11:51:53+00:00,75.0,0.6,0.3,0.65,0.0,0.0,,4,0.5019581054687501,False,REGULAR,USD,SRE
SRE220715P00080000,2021-11-02 14:31:37+00:00,80.0,0.59,0.95,1.25,0.0,0.0,,7,0.5397995239257813,False,REGULAR,USD,SRE
SRE220715P00100000,2021-12-21 19:38:32+00:00,100.0,1.75,0.95,1.1,0.0,0.0,1.0,4,0.3493717407226562,False,REGULAR,USD,SRE
SRE220715P00110000,2021-12-27 17:45:01+00:00,110.0,2.85,1.9,2.1,0.0,0.0,,1,0.3227606787109374,False,REGULAR,USD,SRE
SRE220715P00115000,2021-12-06 17:15:45+00:00,115.0,6.5,2.45,2.7,0.0,0.0,1.0,4,0.30359583129882806,False,REGULAR,USD,SRE
SRE220715P00120000,2021-11-15 16:09:46+00:00,120.0,8.5,7.5,8.0,0.0,0.0,5.0,8,0.4415339050292969,False,REGULAR,USD,SRE
SRE220715P00125000,2021-12-16 15:45:00+00:00,125.0,8.5,4.9,5.4,0.0,0.0,1.0,48,0.29706513488769526,False,REGULAR,USD,SRE
SRE220715P00130000,2021-11-10 11:51:53+00:00,130.0,9.2,12.2,12.9,0.0,0.0,10.0,10,0.45770805969238293,False,REGULAR,USD,SRE
SRE220715P00155000,2021-11-10 11:51:53+00:00,155.0,27.3,31.2,32.5,0.0,0.0,,3,0.5630536859130859,True,REGULAR,USD,SRE
SRE220715P00160000,2021-11-19 15:36:32+00:00,160.0,39.5,35.2,37.7,0.0,0.0,3.0,4,0.5922892333984376,True,REGULAR,USD,SRE
