contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
STLD220218P00030000,2021-11-10 11:54:57+00:00,30.0,0.1,0.1,0.3,0.0,0.0,1.0,1,2.9687525781249997,False,REGULAR,USD,STLD
STLD220218P00040000,2021-12-03 18:29:56+00:00,40.0,0.47,0.0,0.75,0.0,0.0,100.0,378,2.1406296484375,False,REGULAR,USD,STLD
STLD220218P00045000,2021-12-16 16:42:46+00:00,45.0,0.5,0.0,0.0,0.0,0.0,1.0,126,0.500005,False,REGULAR,USD,STLD
STLD220218P00050000,2022-01-05 14:42:45+00:00,50.0,0.25,0.25,0.4,-0.15,-37.5,6.0,360,1.123051259765625,False,REGULAR,USD,STLD
STLD220218P00055000,2022-01-05 20:08:39+00:00,55.0,0.68,0.6,0.75,-0.39000005,-36.4486,52.0,364,0.87500125,False,REGULAR,USD,STLD
STLD220218P00060000,2022-01-05 18:36:39+00:00,60.0,1.26,1.45,1.7,-0.8399999,-39.999996,43.0,665,0.6186561572265626,False,REGULAR,USD,STLD
STLD220218P00065000,2022-01-05 18:33:06+00:00,65.0,2.65,3.2,3.5,-1.8499999,-41.111107,33.0,321,1.0000000000000003e-05,True,REGULAR,USD,STLD
STLD220218P00070000,2022-01-05 15:44:43+00:00,70.0,5.5,6.0,6.4,-4.1000004,-42.708336,13.0,300,1.0000000000000003e-05,True,REGULAR,USD,STLD
STLD220218P00075000,2021-11-15 16:20:01+00:00,75.0,12.2,17.9,18.4,0.0,0.0,5.0,125,2.707034482421875,True,REGULAR,USD,STLD
STLD220218P00080000,2021-10-27 18:41:23+00:00,80.0,16.5,17.5,18.0,0.0,0.0,2.0,57,1.0000000000000003e-05,True,REGULAR,USD,STLD
STLD220218P00085000,2021-11-22 20:41:13+00:00,85.0,18.5,23.9,24.2,0.0,0.0,69.0,67,1.0000000000000003e-05,True,REGULAR,USD,STLD
STLD220218P00090000,2021-10-26 17:21:51+00:00,90.0,23.4,26.8,27.4,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,STLD
STLD220218P00100000,2021-11-10 11:54:57+00:00,100.0,29.2,39.4,40.5,0.0,0.0,,1,2.5205115112304686,True,REGULAR,USD,STLD
STLD220218P00105000,2021-11-10 11:54:57+00:00,105.0,39.2,44.8,46.4,0.0,0.0,14.0,12,3.167970830078125,True,REGULAR,USD,STLD
