contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
VRTX220715P00105000,2021-12-02 15:54:42+00:00,105.0,0.7,0.0,1.4,0.0,0.0,,1,0.6762727685546877,False,REGULAR,USD,VRTX
VRTX220715P00110000,2021-12-02 15:55:02+00:00,110.0,0.95,0.0,1.4,0.0,0.0,,2,0.6438023901367188,False,REGULAR,USD,VRTX
VRTX220715P00115000,2021-12-02 15:54:42+00:00,115.0,1.15,0.05,1.55,0.0,0.0,,1,0.6264685791015626,False,REGULAR,USD,VRTX
VRTX220715P00130000,2021-12-23 17:46:57+00:00,130.0,1.14,0.15,1.65,0.0,0.0,1.0,18,0.5500533276367189,False,REGULAR,USD,VRTX
VRTX220715P00135000,2021-12-21 18:41:24+00:00,135.0,1.47,0.2,1.9,0.0,0.0,6.0,113,0.5376022802734376,False,REGULAR,USD,VRTX
VRTX220715P00140000,2021-12-21 18:41:24+00:00,140.0,1.87,0.7,2.1,0.0,0.0,5.0,105,0.5400436621093752,False,REGULAR,USD,VRTX
VRTX220715P00145000,2021-12-17 14:32:12+00:00,145.0,3.0,1.5,2.6,0.0,0.0,2.0,2,0.5565229895019532,False,REGULAR,USD,VRTX
VRTX220715P00150000,2022-01-03 17:23:07+00:00,150.0,2.64,1.95,2.7,0.0,0.0,1.0,11,0.5438278039550781,False,REGULAR,USD,VRTX
VRTX220715P00160000,2021-12-01 19:34:08+00:00,160.0,6.3,3.1,7.8,0.0,0.0,,1,0.6175575354003908,False,REGULAR,USD,VRTX
VRTX220715P00165000,2021-12-06 20:50:16+00:00,165.0,7.5,3.4,4.4,0.0,0.0,2.0,136,0.5295457202148439,False,REGULAR,USD,VRTX
VRTX220715P00170000,2022-01-03 16:26:00+00:00,170.0,5.47,4.3,5.1,0.0,0.0,8.0,10,0.5295457202148439,False,REGULAR,USD,VRTX
VRTX220715P00175000,2021-11-22 19:30:52+00:00,175.0,15.87,5.8,10.3,0.0,0.0,,27,0.6013833807373048,False,REGULAR,USD,VRTX
VRTX220715P00180000,2021-12-31 17:54:13+00:00,180.0,6.33,6.0,6.7,0.0,0.0,1.0,206,0.5217943328857422,False,REGULAR,USD,VRTX
VRTX220715P00190000,2022-01-03 16:43:18+00:00,190.0,9.5,8.3,9.5,0.0,0.0,9.0,44,0.5271958901977539,False,REGULAR,USD,VRTX
VRTX220715P00195000,2022-01-05 19:34:47+00:00,195.0,10.0,7.2,12.6,-8.5,-45.945946,7.0,5,0.518986743774414,False,REGULAR,USD,VRTX
VRTX220715P00200000,2022-01-05 18:57:27+00:00,200.0,11.4,8.7,14.3,-1.1500006,-9.163351,40.0,45,0.5219774365234374,False,REGULAR,USD,VRTX
VRTX220715P00210000,2021-12-28 18:38:42+00:00,210.0,16.5,12.5,16.3,0.0,0.0,100.0,131,0.5139819110107422,False,REGULAR,USD,VRTX
VRTX220715P00230000,2022-01-03 14:30:04+00:00,230.0,26.9,23.2,26.4,0.0,0.0,1.0,4,0.5518843640136719,False,REGULAR,USD,VRTX
VRTX220715P00240000,2021-12-31 17:17:05+00:00,240.0,32.26,29.7,33.0,0.0,0.0,2.0,3,0.5775188732910157,False,REGULAR,USD,VRTX
