contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ABV
ZS220520P00130000,2022-01-05 20:29:13+00:00,130.0,2.0,1.74,2.33,1.27,173.9726,1.0,30,0.9038095556640625,False,REGULAR,USD,ZS
ZS220520P00135000,2021-12-31 16:13:45+00:00,135.0,0.96,1.92,2.56,0.0,0.0,2.0,4,0.8815929809570311,False,REGULAR,USD,ZS
ZS220520P00140000,2022-01-04 19:04:17+00:00,140.0,1.45,2.28,4.3,0.0,0.0,1.0,27,0.9211433666992188,False,REGULAR,USD,ZS
ZS220520P00150000,2022-01-04 18:52:48+00:00,150.0,2.5,3.1,4.4,0.0,0.0,10.0,21,0.86914193359375,False,REGULAR,USD,ZS
ZS220520P00155000,2021-12-14 17:23:35+00:00,155.0,4.0,3.65,4.1,0.0,0.0,1.0,21,0.8369156933593749,False,REGULAR,USD,ZS
ZS220520P00160000,2021-12-15 16:08:01+00:00,160.0,3.3,4.1,4.55,0.0,0.0,1.0,20,0.8226946441650391,False,REGULAR,USD,ZS
ZS220520P00165000,2021-12-08 20:14:52+00:00,165.0,3.0,4.5,5.15,0.0,0.0,1.0,0,0.8092670440673828,False,REGULAR,USD,ZS
ZS220520P00170000,2021-12-23 16:36:06+00:00,170.0,3.3,5.2,5.8,0.0,0.0,2.0,1,0.8020039331054687,False,REGULAR,USD,ZS
ZS220520P00175000,2021-12-06 17:29:14+00:00,175.0,7.0,4.95,5.2,0.0,0.0,10.0,14,0.7453028399658204,False,REGULAR,USD,ZS
ZS220520P00180000,2022-01-05 20:20:42+00:00,180.0,7.02,6.6,7.3,3.52,100.57143,1.0,17,0.7840597766113282,False,REGULAR,USD,ZS
ZS220520P00185000,2022-01-04 19:10:28+00:00,185.0,6.0,7.5,8.35,0.0,0.0,3.0,6,0.7808249456787109,False,REGULAR,USD,ZS
ZS220520P00190000,2022-01-05 14:55:22+00:00,190.0,6.1,8.3,10.3,0.4499998,7.964598,3.0,6,0.7878439184570312,False,REGULAR,USD,ZS
ZS220520P00200000,2022-01-05 19:39:51+00:00,200.0,10.1,10.0,11.05,2.0,24.691357,4.0,264,0.7463404272460938,False,REGULAR,USD,ZS
ZS220520P00210000,2022-01-04 15:06:26+00:00,210.0,7.25,12.4,14.7,0.0,0.0,1.0,81,0.7495142236328125,False,REGULAR,USD,ZS
ZS220520P00220000,2022-01-05 20:20:42+00:00,220.0,16.26,14.95,17.15,3.21,24.597702,7.0,259,0.7292507543945312,False,REGULAR,USD,ZS
ZS220520P00230000,2022-01-05 19:37:10+00:00,230.0,18.3,18.6,20.45,8.799999,92.63157,8.0,31,0.7238797143554687,False,REGULAR,USD,ZS
ZS220520P00240000,2022-01-05 17:25:20+00:00,240.0,19.57,22.45,24.25,1.5200005,8.421055,2.0,603,0.7172269488525391,False,REGULAR,USD,ZS
ZS220520P00250000,2022-01-05 20:59:38+00:00,250.0,27.35,26.9,27.75,5.300001,24.036287,223.0,247,0.7056609024047852,False,REGULAR,USD,ZS
ZS220520P00260000,2022-01-05 20:27:30+00:00,260.0,33.55,30.8,33.1,16.8,100.2985,274.0,317,0.699069171447754,False,REGULAR,USD,ZS
ZS220520P00270000,2022-01-05 19:50:12+00:00,270.0,36.91,36.4,38.15,6.8099995,22.624582,19.0,211,0.6979400323486329,False,REGULAR,USD,ZS
ZS220520P00280000,2022-01-05 19:36:56+00:00,280.0,41.95,41.95,43.95,9.530003,29.395443,7.0,2084,0.6958343405151368,True,REGULAR,USD,ZS
ZS220520P00290000,2022-01-04 19:15:32+00:00,290.0,43.21,48.05,50.55,0.0,0.0,5.0,110,0.6989471023559571,True,REGULAR,USD,ZS
ZS220520P00300000,2022-01-05 20:44:03+00:00,300.0,58.3,55.35,58.05,8.469997,16.997787,10.0,98,0.714419359741211,True,REGULAR,USD,ZS
ZS220520P00310000,2022-01-04 20:48:11+00:00,310.0,50.82,62.2,64.4,0.0,0.0,107.0,196,0.709689182434082,True,REGULAR,USD,ZS
ZS220520P00320000,2022-01-04 20:25:27+00:00,320.0,59.5,69.95,72.8,0.0,0.0,4.0,77,0.7263210961914062,True,REGULAR,USD,ZS
ZS220520P00330000,2022-01-05 19:32:46+00:00,330.0,77.5,77.55,80.8,6.8799973,9.742279,1.0,103,0.733279034423828,True,REGULAR,USD,ZS
ZS220520P00340000,2021-12-29 19:49:11+00:00,340.0,47.1,85.5,88.65,0.0,0.0,12.0,265,0.7376124871826171,True,REGULAR,USD,ZS
ZS220520P00360000,2022-01-05 15:26:24+00:00,360.0,94.29,102.7,106.3,37.440002,65.85752,1.0,32,0.7666038964843751,True,REGULAR,USD,ZS
ZS220520P00370000,2021-12-06 18:55:02+00:00,370.0,109.25,112.2,115.25,0.0,0.0,11.0,54,0.7870504693603515,True,REGULAR,USD,ZS
ZS220520P00380000,2021-12-03 17:51:23+00:00,380.0,90.0,72.95,75.45,0.0,0.0,2.0,200,1.0000000000000003e-05,True,REGULAR,USD,ZS
ZS220520P00390000,2021-11-01 16:02:56+00:00,390.0,88.1,87.05,89.95,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD,ZS
ZS220520P00400000,2021-12-14 17:30:42+00:00,400.0,128.15,139.55,142.8,0.0,0.0,2.0,7,0.8298967205810546,True,REGULAR,USD,ZS
ZS220520P00410000,2021-11-17 20:41:28+00:00,410.0,77.0,114.9,118.5,0.0,0.0,10.0,13,1.0000000000000003e-05,True,REGULAR,USD,ZS
