Date,Firm,To Grade,From Grade,Action,ABV
2017-08-28,FBR Capital,Buy,,init,BPRN
2018-11-05,B. Riley FBR,Neutral,Neutral,main,BPRN
2019-09-06,B. Riley,Neutral,,main,BPRN
2020-01-09,B. Riley FBR,Neutral,,main,BPRN
2020-02-11,B. Riley FBR,Neutral,,reit,BPRN
2020-04-13,B. Riley FBR,Neutral,,main,BPRN
2020-04-24,Piper Sandler,Neutral,,main,BPRN
2020-04-28,B. Riley FBR,Neutral,,main,BPRN
2021-02-05,B. Riley FBR,Buy,Neutral,up,BPRN
2021-04-23,Piper Sandler,Overweight,Neutral,up,BPRN
2021-04-27,Boenning & Scattergood,Outperform,Neutral,up,BPRN
