Date,Firm,To Grade,From Grade,Action,ABV
2013-02-21,DA Davidson,Buy,,main,CLW
2013-04-25,TD Securities,Hold,Buy,down,CLW
2013-09-13,DA Davidson,Buy,,main,CLW
2013-10-24,DA Davidson,Buy,,main,CLW
2014-01-27,RBC Capital,Outperform,,init,CLW
2014-02-06,DA Davidson,Buy,,main,CLW
2014-09-15,DA Davidson,Neutral,Buy,down,CLW
2015-02-05,RBC Capital,Sector Perform,Outperform,down,CLW
2015-02-06,RBC Capital,Sector Perform,Outperform,down,CLW
2015-10-30,Macquarie,Outperform,,main,CLW
2016-01-12,RBC Capital,Sector Perform,,down,CLW
2016-05-12,DA Davidson,Neutral,Buy,down,CLW
2016-06-22,Sidoti & Co.,Buy,,init,CLW
2016-07-22,Vertical Research,Hold,Buy,down,CLW
2016-11-14,DA Davidson,Buy,Neutral,up,CLW
2016-11-30,KeyBanc,Sector Weight,,init,CLW
2017-01-06,RBC Capital,Underperform,Sector Perform,down,CLW
2017-02-27,RBC Capital,Sector Perform,Underperform,up,CLW
2018-05-03,RBC Capital,Outperform,Sector Perform,up,CLW
2018-08-24,RBC Capital,Sector Perform,Outperform,down,CLW
2019-08-01,RBC Capital,Underperform,Sector Perform,down,CLW
2020-01-14,RBC Capital,Sector Perform,Underperform,up,CLW
2020-05-06,CFRA,Strong Buy,,main,CLW
2021-01-21,BMO Capital,Outperform,,init,CLW
2021-02-26,RBC Capital,Sector Perform,Outperform,down,CLW
2021-10-20,RBC Capital,Outperform,Sector Perform,up,CLW
2021-12-20,BMO Capital,Market Perform,Outperform,down,CLW
