Date,Firm,To Grade,From Grade,Action,ABV
2012-02-09,JP Morgan,Overweight,,init,DLTR
2012-02-22,Bank of America,Buy,,main,DLTR
2012-03-26,Canaccord Genuity,Hold,,init,DLTR
2012-04-25,Deutsche Bank,Buy,,main,DLTR
2012-05-15,Jefferies,Buy,,main,DLTR
2012-05-17,Feltl & Co.,Strong Buy,,main,DLTR
2012-05-18,Goldman Sachs,Neutral,,main,DLTR
2012-06-28,Barclays,Equal-Weight,,main,DLTR
2012-06-29,Goldman Sachs,Neutral,,main,DLTR
2012-07-02,Deutsche Bank,Hold,Buy,down,DLTR
2012-07-03,Wedbush,Outperform,,main,DLTR
2012-07-09,Morgan Stanley,Underweight,Equal-Weight,down,DLTR
2012-08-13,Jefferies,Buy,,main,DLTR
2012-08-16,PiperJaffray,Overweight,,main,DLTR
2012-10-11,Bank of America,Buy,,main,DLTR
2012-10-12,Jefferies,Hold,Buy,down,DLTR
2012-10-12,PiperJaffray,Neutral,Overweight,down,DLTR
2012-10-15,JP Morgan,Overweight,,main,DLTR
2012-10-18,Goldman Sachs,Neutral,,main,DLTR
2012-11-15,MKM Partners,Buy,,up,DLTR
2012-11-16,MKM Partners,Buy,Neutral,up,DLTR
2013-01-08,Nomura,,,main,DLTR
2013-02-25,Wedbush,Outperform,,main,DLTR
2013-02-27,Deutsche Bank,Hold,,main,DLTR
2013-02-27,Canaccord Genuity,Hold,,main,DLTR
2013-02-28,Jefferies,Hold,,main,DLTR
2013-03-04,Standpoint Research,Accumulate,,init,DLTR
2013-04-03,Morgan Stanley,Overweight,Equal-Weight,up,DLTR
2013-05-07,JP Morgan,Overweight,,main,DLTR
2013-05-24,Nomura,Neutral,,main,DLTR
2013-06-05,Sterne Agee,Buy,,init,DLTR
2013-06-17,JP Morgan,Overweight,,main,DLTR
2013-07-02,Standpoint Research,Hold,Buy,down,DLTR
2013-08-26,Deutsche Bank,Buy,Hold,up,DLTR
2013-08-26,BMO Capital,Outperform,,main,DLTR
2013-09-18,Deutsche Bank,Buy,,main,DLTR
2013-09-19,Jefferies,Hold,,main,DLTR
2013-11-21,Canaccord Genuity,Hold,,main,DLTR
2013-11-22,Deutsche Bank,Buy,,main,DLTR
2013-11-22,Barclays,Overweight,Equal-Weight,up,DLTR
