Date,Firm,To Grade,From Grade,Action,ABV
2018-08-27,Morgan Stanley,Equal-Weight,,init,SONO
2018-08-27,Raymond James,Outperform,,init,SONO
2018-08-27,Goldman Sachs,Buy,,init,SONO
2018-08-27,RBC Capital,Outperform,,init,SONO
2018-08-27,Jefferies,Hold,,init,SONO
2018-08-27,Stifel Nicolaus,Hold,,init,SONO
2019-01-28,Morgan Stanley,Overweight,Equal-Weight,up,SONO
2019-04-02,DA Davidson,Buy,,init,SONO
2019-08-19,Raymond James,Strong Buy,Outperform,up,SONO
2019-11-13,RBC Capital,Outperform,,init,SONO
2020-04-17,Goldman Sachs,Sell,Buy,down,SONO
2020-05-07,B of A Securities,Neutral,,reit,SONO
2020-06-11,Morgan Stanley,Overweight,,main,SONO
2020-07-21,B of A Securities,Neutral,,main,SONO
2020-07-29,Raymond James,Market Perform,Strong Buy,down,SONO
2020-08-06,Morgan Stanley,Overweight,,main,SONO
2020-08-06,Stifel,Hold,,main,SONO
2020-10-15,B of A Securities,Buy,Neutral,up,SONO
2020-11-19,RBC Capital,Outperform,,main,SONO
2020-11-19,Morgan Stanley,Overweight,,main,SONO
2021-02-03,Morgan Stanley,Overweight,,main,SONO
2021-02-11,Morgan Stanley,Overweight,,main,SONO
2021-05-13,Morgan Stanley,Overweight,,main,SONO
2021-08-12,Morgan Stanley,Overweight,,main,SONO
2021-08-16,Jefferies,Buy,Hold,up,SONO
2021-12-09,Morgan Stanley,Overweight,,main,SONO
