Date,Firm,To Grade,From Grade,Action,ABV
2012-02-09,Stifel Nicolaus,Buy,,main,SPSC
2012-02-09,Feltl & Co.,Strong Buy,,main,SPSC
2012-06-21,Northland Securities,Outperform,,init,SPSC
2012-10-22,Canaccord Genuity,Buy,Hold,up,SPSC
2013-04-02,Maxim Group,Buy,,init,SPSC
2013-06-28,Stifel Nicolaus,Buy,,main,SPSC
2014-04-25,Canaccord Genuity,Buy,,main,SPSC
2015-07-24,Canaccord Genuity,Buy,,main,SPSC
2015-07-24,Stifel Nicolaus,Buy,,main,SPSC
2016-09-27,First Analysis,Overweight,,init,SPSC
2017-02-08,Canaccord Genuity,Hold,Buy,down,SPSC
2017-02-08,William Blair,Market Perform,Outperform,down,SPSC
2017-02-08,Pacific Crest,Sector Weight,,down,SPSC
2017-07-21,Oppenheimer,Outperform,,init,SPSC
2017-10-27,Stifel Nicolaus,Buy,,main,SPSC
2017-10-27,Oppenheimer,Outperform,,main,SPSC
2017-10-27,Canaccord Genuity,Hold,,main,SPSC
2017-10-30,Benchmark,Sell,Hold,down,SPSC
2018-02-07,Canaccord Genuity,Hold,Hold,main,SPSC
2018-04-23,Benchmark,Hold,Sell,up,SPSC
2018-04-27,Canaccord Genuity,Buy,Hold,up,SPSC
2018-04-27,JMP Securities,Market Outperform,Market Outperform,main,SPSC
2018-06-07,Oppenheimer,Outperform,Outperform,main,SPSC
2018-07-27,Stifel Nicolaus,Buy,Buy,main,SPSC
2018-07-27,Canaccord Genuity,Buy,Buy,main,SPSC
2018-10-26,Oppenheimer,Outperform,Outperform,main,SPSC
2018-10-26,Canaccord Genuity,Buy,Buy,main,SPSC
2019-02-13,Canaccord Genuity,Buy,Buy,main,SPSC
2019-03-18,Oppenheimer,Outperform,Outperform,main,SPSC
2019-04-26,First Analysis,Outperform,Neutral,up,SPSC
2019-04-26,JMP Securities,Market Outperform,Market Outperform,main,SPSC
2019-07-26,Canaccord Genuity,Buy,,main,SPSC
2019-08-28,Canaccord Genuity,Buy,,main,SPSC
2019-09-04,Oppenheimer,Outperform,,main,SPSC
2019-10-25,First Analysis,Strong Buy,Outperform,up,SPSC
2020-01-17,Oppenheimer,Perform,Outperform,down,SPSC
2020-02-14,Needham,Buy,,main,SPSC
2020-02-14,Craig-Hallum,Buy,,main,SPSC
2020-06-05,Needham,Buy,,main,SPSC
2020-10-29,Needham,Buy,,main,SPSC
2021-02-12,Needham,Buy,,main,SPSC
2021-04-30,Northland Capital Markets,Outperform,Market Perform,up,SPSC
2021-07-30,Baird,Outperform,Neutral,up,SPSC
2021-07-30,JMP Securities,Market Outperform,,main,SPSC
2021-09-21,Baird,Outperform,,main,SPSC
2021-10-29,Needham,Buy,,main,SPSC
2021-10-29,JMP Securities,Market Outperform,,main,SPSC
2021-10-29,Northland Capital Markets,Market Perform,Outperform,down,SPSC
